d,payloadB,lanes,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_connected_s,t_session_s,t_usable_s,discovered,connected,session,usable,drop
3.0,132,,,c68 d=3 soak,1785285956426,1785286051617,123,71.2,0.662,100,100,1.0,114,163,142,55.0,1.82,239.9,430.5,3.26,-58.5,4.1,-58.7,3.2,1.48,1.41,1.7,2.69,28,4,2,1,3
3.0,132,,,c69 d=3 soak,1785286051617,1785286146789,115,66.8,0.641,100,100,1.0,124,164,156,55.1,1.82,239.6,430.5,3.26,-58.1,4.0,-55.2,1.1,1.61,1.46,1.8,2.64,31,4,2,1,3
3.0,132,,,c70 d=3 soak,1785286146789,1785286241954,119,70.6,0.673,100,100,1.0,102,137,124,54.1,1.85,244.2,431.9,3.27,-58.6,3.8,-61.1,3.3,2.46,2.31,2.63,3.63,28,4,2,1,3
3.0,132,,,c71 d=3 soak,1785286241954,1785286337142,99,57.4,0.62,100,100,1.0,112,163,144,54.1,1.85,244.0,430.5,3.26,-58.0,3.8,-59.2,3.3,2.57,2.46,2.85,3.6,29,4,2,1,4
3.0,132,,,c72 d=3 soak,1785286337142,1785286432327,117,68.7,0.672,100,100,1.0,107,165,128,55.1,1.81,239.5,431.9,3.27,-58.6,4.2,-55.2,2.9,1.69,1.61,1.93,2.58,28,4,2,1,3
3.0,132,,,c73 d=3 soak,1785286432327,1785286527567,124,73.7,0.693,100,100,1.0,102,148,141,54.1,1.85,244.2,437.5,3.31,-58.7,4.1,-58.6,4.4,1.71,1.64,1.96,3.16,29,4,2,1,3
3.0,132,,,c74 d=3 soak,1785286527567,1785286622756,121,70.6,0.662,100,100,1.0,109,147,132,54.1,1.85,244.0,430.5,3.26,-58.3,4.3,-56.2,2.9,2.4,2.33,2.62,3.63,28,4,2,1,3
3.0,132,,,c75 d=3 soak,1785286622756,1785286717948,122,71.9,0.683,100,100,1.0,102,138,126,55.1,1.81,239.4,434.7,3.29,-57.7,4.2,-56.5,2.7,1.69,1.62,1.85,2.64,29,4,2,1,3
3.0,132,,,c76 d=3 soak,1785286717948,1785286813133,123,71.2,0.672,100,100,1.0,112,160,151,53.1,1.88,248.6,430.5,3.26,-59.3,4.4,-56.7,2.8,2.84,2.75,3.1,4.1,28,4,2,1,3
3.0,132,,,c77 d=3 soak,1785286813133,1785286908271,122,70.6,0.673,100,100,1.0,112,137,141,55.0,1.82,239.8,430.5,3.26,-58.1,4.1,-59.5,3.6,1.5,1.47,1.68,2.65,29,4,2,1,3
